title,dev,date
War Robots: Frontiers,Pixonic,"
24 ноября 2022 г. "
Sonic Blast,,"
14 ноября 1996 г. "
Sonic Advance 2,Sonic Team,"
19 декабря 2002 г. "
Sonic the Hedgehog: Triple Trouble,SEGA,
Sonic Advance,Sonic Team,"
20 декабря 2001 г. "
Sonic Rush Adventure,Sonic Team,"
13 сентября 2007 г. "
Sonic the Hedgehog Pocket Adventure,,"
4 декабря 1999 г. "
Sonic 3D Blast,Sonic Team,"
7 ноября 1996 г. "
Sonic Rush,Sonic Team,"
15 ноября 2005 г. "
That's a lot of pixels!,,
Sonic the Hedgehog (2006),Sonic Team,"
14 ноября 2006 г. "
Shadow the Hedgehog,SEGA Studios,"
15 ноября 2005 г. "
Sonic and the Secret Rings,Sonic Team,"
20 февраля 2007 г. "
Sonic Drift,SEGA,
Knuckles' Chaotix,SEGA,
Sonic Unleashed,Sonic Team,"
18 ноября 2008 г. "
Sonic and the Black Knight,Sonic Team,"
3 марта 2009 г. "
Sonic Drift 2,Arc System Works,"
17 марта 1995 г. "
Sonic Advance 3,Sonic Team,"
7 июня 2004 г. "
Sonic R,Sonic Team,"
18 ноября 1997 г. "
Sonic Racing Kart,,
Sonic & Knuckles,,"
18 октября 1994 г. "
Jack Bros.,Atlus,"
29 сентября 1995 г. "
Ronde,Atlus,
Sonic Riders: Zero Gravity,Sonic Team,"
8 января 2008 г. "
Shin Megami Tensei: Digital Devil Saga 2,Atlus,"
27 января 2005 г. "
The Legend of Heroes: Trails to Azure,"NIS America, Inc.",
Sonic Rivals 2,SEGA,
Iragon 18+,,"
21 марта 2023 г. "
Sonic Rivals,SEGA,
我的变色龙女友My Chameleon Girlfriend,,
Fallen Dungeons,,"
22 марта 2023 г. "
不思議の大冒険 チルノ見参!,,
OUTSTAND,,
A Shaman's Ballard,,
Chill Town,Low-Hi Tech,
Devil Summoner: Soul Hackers,Atlus,"
13 ноября 1997 г. "
Shin Megami Tensei: Devil Summoner,Atlus,"
25 декабря 1995 г. "
Tokyo Mirage Sessions ♯FE,Atlus,"
26 декабря 2015 г. "
Majin Tensei II: Spiral Nemesis,Atlus,
Devil Summoner: Raidou Kuzunoha vs. the Soulless Army,Atlus,"
2 марта 2006 г. "
Shadow Tower Abyss,FromSoftware,"
23 октября 2003 г. "
Chromehounds,SEGA,
The Adventures of Cookie & Cream,FromSoftware,"
7 декабря 2000 г. "
3D Dot Game Heroes,Silicon Studio,"
5 ноября 2009 г. "
Enchanted Arms,FromSoftware,"
12 января 2006 г. "
Déraciné,FromSoftware,"
6 ноября 2018 г. "
Eternal Ring,Crave Entertainment,
Devil Summoner 2: Raidou Kuzunoha vs. King Abaddon,Atlus,"
23 октября 2008 г. "
Frame Gride,FromSoftware,"
15 июля 1999 г. "
Kuon,FromSoftware,"
1 апреля 2004 г. "
Digital Devil Story: Megami Tensei II,Namco,
Mobile Suit Gundam Unicorn,From Software,"
8 марта 2012 г. "
Steel Battalion: Line of Contact,Capcom,
Monster Hunter Diary: Poka Poka Airou Village,FromSoftware,"
26 августа 2010 г. "
Digital Devil Story: Megami Tensei,Namco,
Yoshitsune Eiyūden: The Story of Hero Yoshitsune,FromSoftware,"
13 января 2005 г. "
Shin Megami Tensei If...,Atlus,
Shin Megami Tensei II,Atlus,"
18 марта 1994 г. "
Shin Megami Tensei,Atlus,"
10 октября 1992 г. "
Shadow Tower,FromSoftware,"
25 июня 1998 г. "
Shin Megami Tensei: Strange Journey,Atlus,"
8 октября 2009 г. "
One Military Camp,,
Shin Megami Tensei IV,Atlus,"
23 мая 2013 г. "
King's Field II,Sony Computer Entertainment,
Double Dragon V: The Shadow Falls,,
Super Double Dragon,,
Double Dragon II: The Revenge,,
Double Dragon III: The Sacred Stones,Acclaim Entertainment,
Battletoads/Double Dragon,Sony Computer Entertainment,
King's Field,FromSoftware,
King's Field III,FromSoftware,
Shin Megami Tensei NINE,Atlus,"
5 декабря 2002 г. "
Lost Kingdoms II,FromSoftware,"
13 мая 2003 г. "
King's Field: Additional I,FromSoftware,"
20 июля 2006 г. "
Rusted Moss,,"
2023 г. "
Lords of Ravage,,"
февраль 2023 г. "
Another Century's Episode,Banpresto,
Another Century's Episode 2,FromSoftware,"
30 марта 2006 г. "
King's Field: Additional II,FromSoftware,"
24 августа 2006 г. "
Another Century's Episode 3: The Final,FromSoftware,"
6 сентября 2007 г. "
